Ligand,Binding Affinity,rmsd/ub, rmsd/lb
199_uff_e=50.33_out,-3.9,0.0,0.0
199_uff_e=50.33_out,-3.8,3.409,1.385
199_uff_e=50.33_out,-3.8,3.108,1.854
199_uff_e=50.33_out,-3.6,4.089,2.089
199_uff_e=50.33_out,-3.6,3.196,2.186
199_uff_e=50.33_out,-3.6,3.579,1.975
199_uff_e=50.33_out,-3.5,19.283,18.35
199_uff_e=50.33_out,-3.5,3.006,2.095
199_uff_e=50.33_out,-3.5,22.373,21.516
264_uff_e=17.52_out,-3.8,0.0,0.0
264_uff_e=17.52_out,-3.4,3.971,3.185
264_uff_e=17.52_out,-3.3,18.816,18.235
264_uff_e=17.52_out,-3.3,18.247,18.071
264_uff_e=17.52_out,-3.3,18.404,18.283
264_uff_e=17.52_out,-3.1,10.389,9.571
264_uff_e=17.52_out,-3.1,16.379,15.889
264_uff_e=17.52_out,-3.1,19.74,19.095
264_uff_e=17.52_out,-3.1,21.245,20.608
323_uff_e=92.26_out,-5.6,0.0,0.0
323_uff_e=92.26_out,-5.6,2.145,1.25
323_uff_e=92.26_out,-5.4,19.309,18.651
323_uff_e=92.26_out,-5.4,19.222,18.744
323_uff_e=92.26_out,-5.3,4.148,2.276
323_uff_e=92.26_out,-5.3,3.081,2.311
323_uff_e=92.26_out,-5.1,2.103,1.586
323_uff_e=92.26_out,-5.0,2.976,1.502
323_uff_e=92.26_out,-5.0,22.707,21.139
325_uff_e=87.15_out,-5.2,0.0,0.0
325_uff_e=87.15_out,-5.1,1.912,0.697
325_uff_e=87.15_out,-5.0,3.647,2.454
325_uff_e=87.15_out,-5.0,4.735,2.579
325_uff_e=87.15_out,-5.0,3.725,2.357
325_uff_e=87.15_out,-4.8,22.197,21.14
325_uff_e=87.15_out,-4.8,22.126,21.16
325_uff_e=87.15_out,-4.8,4.885,3.21
325_uff_e=87.15_out,-4.7,5.376,3.26
326_uff_e=71.07_out,-5.3,0.0,0.0
326_uff_e=71.07_out,-5.2,1.468,0.141
326_uff_e=71.07_out,-4.9,2.802,1.857
326_uff_e=71.07_out,-4.7,4.818,3.301
326_uff_e=71.07_out,-4.7,22.144,21.064
326_uff_e=71.07_out,-4.7,22.096,21.064
326_uff_e=71.07_out,-4.7,3.873,2.512
326_uff_e=71.07_out,-4.6,4.717,2.885
326_uff_e=71.07_out,-4.6,4.559,2.852
370_uff_e=77.54_out,-5.5,0.0,0.0
370_uff_e=77.54_out,-5.5,2.405,0.203
370_uff_e=77.54_out,-5.1,12.091,10.327
370_uff_e=77.54_out,-5.1,11.986,10.265
370_uff_e=77.54_out,-5.1,12.361,10.748
370_uff_e=77.54_out,-5.0,12.444,10.84
370_uff_e=77.54_out,-5.0,3.425,1.733
370_uff_e=77.54_out,-4.9,12.814,10.842
370_uff_e=77.54_out,-4.8,4.698,1.236
379_uff_e=30.37_out,-4.3,0.0,0.0
379_uff_e=30.37_out,-3.9,5.318,4.158
379_uff_e=30.37_out,-3.9,20.876,19.285
379_uff_e=30.37_out,-3.9,10.626,9.25
379_uff_e=30.37_out,-3.9,2.047,1.267
379_uff_e=30.37_out,-3.9,21.068,19.668
379_uff_e=30.37_out,-3.8,21.239,19.864
379_uff_e=30.37_out,-3.8,3.548,2.807
379_uff_e=30.37_out,-3.8,22.503,21.611
412_uff_e=265.80_out,-4.8,0.0,0.0
412_uff_e=265.80_out,-4.6,4.566,1.151
412_uff_e=265.80_out,-4.4,4.626,2.991
412_uff_e=265.80_out,-4.4,2.817,2.211
412_uff_e=265.80_out,-4.4,19.832,18.805
412_uff_e=265.80_out,-4.3,21.486,20.008
412_uff_e=265.80_out,-4.3,10.906,9.681
412_uff_e=265.80_out,-4.3,14.291,13.441
412_uff_e=265.80_out,-4.2,3.44,2.43
502_uff_e=72.75_out,-3.9,0.0,0.0
502_uff_e=72.75_out,-3.7,21.97,21.017
502_uff_e=72.75_out,-3.7,15.208,14.206
502_uff_e=72.75_out,-3.6,2.743,2.003
502_uff_e=72.75_out,-3.6,22.454,21.977
502_uff_e=72.75_out,-3.6,4.52,1.945
502_uff_e=72.75_out,-3.6,2.157,1.695
502_uff_e=72.75_out,-3.6,22.132,21.792
502_uff_e=72.75_out,-3.5,3.793,2.036
681_uff_e=104.84_out,-4.7,0.0,0.0
681_uff_e=104.84_out,-4.6,2.463,1.526
681_uff_e=104.84_out,-4.6,3.111,2.25
681_uff_e=104.84_out,-4.6,11.293,9.567
681_uff_e=104.84_out,-4.6,12.646,11.181
681_uff_e=104.84_out,-4.6,19.293,18.887
681_uff_e=104.84_out,-4.5,11.484,9.99
681_uff_e=104.84_out,-4.4,19.908,19.326
681_uff_e=104.84_out,-4.4,19.732,19.218
802_uff_e=244.64_out,-5.5,0.0,0.0
802_uff_e=244.64_out,-5.3,4.564,3.663
802_uff_e=244.64_out,-5.2,3.692,2.863
802_uff_e=244.64_out,-5.1,20.288,19.389
802_uff_e=244.64_out,-5.0,13.253,11.98
802_uff_e=244.64_out,-5.0,22.409,21.392
802_uff_e=244.64_out,-5.0,5.39,4.12
